Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
192.168.1.7,192.168.1.1,17,50179,53,77
192.168.1.1,192.168.1.7,17,53,50179,159
192.168.1.1,192.168.1.7,17,53,55112,205
192.168.1.7,34.210.107.208,6,50404,443,66
34.210.107.208,192.168.1.7,6,443,50404,66
192.168.1.7,34.210.107.208,6,50404,443,54
192.168.1.7,34.210.107.208,6,50404,443,1997
34.210.107.208,192.168.1.7,6,443,50404,54
34.210.107.208,192.168.1.7,6,443,50404,54
34.210.107.208,192.168.1.7,6,443,50404,1514
34.210.107.208,192.168.1.7,6,443,50404,1514
34.210.107.208,192.168.1.7,6,443,50404,1514
192.168.1.7,34.210.107.208,6,50404,443,54
34.210.107.208,192.168.1.7,6,443,50404,878
192.168.1.7,34.210.107.208,6,50404,443,54
192.168.1.7,34.210.107.208,6,50404,443,118
192.168.1.7,34.210.107.208,6,50404,443,146
192.168.1.7,34.210.107.208,6,50404,443,416
192.168.1.7,34.210.107.208,6,50404,443,1679
34.210.107.208,192.168.1.7,6,443,50404,54
34.210.107.208,192.168.1.7,6,443,50404,200
34.210.107.208,192.168.1.7,6,443,50404,125
192.168.1.7,34.210.107.208,6,50404,443,54
192.168.1.7,34.210.107.208,6,50404,443,85
34.210.107.208,192.168.1.7,6,443,50404,54
34.210.107.208,192.168.1.7,6,443,50404,295
34.210.107.208,192.168.1.7,6,443,50404,85
192.168.1.7,34.210.107.208,6,50404,443,54
34.210.107.208,192.168.1.7,6,443,50404,54
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
204.79.197.203,192.168.1.7,6,443,50392,54
192.168.1.7,34.111.35.151,6,50403,443,54
192.168.1.7,34.210.107.208,6,50404,443,54
34.111.35.151,192.168.1.7,6,443,50403,54
192.168.1.7,34.111.35.151,6,50403,443,54
34.210.107.208,192.168.1.7,6,443,50404,54
192.168.1.7,34.210.107.208,6,50404,443,54
192.168.1.7,108.157.14.11,6,50399,443,54
108.157.14.11,192.168.1.7,6,443,50399,54
192.168.1.7,108.157.14.11,6,50399,443,54
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
192.168.1.7,192.168.1.1,17,51804,53,92
192.168.1.7,192.168.1.1,17,50179,53,92
192.168.1.7,192.168.1.1,17,50179,53,92
192.168.1.7,192.168.1.1,17,51804,53,92
192.168.1.1,192.168.1.7,17,53,50179,263
192.168.1.1,192.168.1.7,17,53,51804,212
192.168.1.7,20.189.173.2,6,50405,443,66
20.189.173.2,192.168.1.7,6,443,50405,66
192.168.1.7,20.189.173.2,6,50405,443,54
192.168.1.7,20.189.173.2,6,50405,443,571
20.189.173.2,192.168.1.7,6,443,50405,153
192.168.1.7,20.189.173.2,6,50405,443,491
20.189.173.2,192.168.1.7,6,443,50405,1514
20.189.173.2,192.168.1.7,6,443,50405,1514
192.168.1.7,20.189.173.2,6,50405,443,54
20.189.173.2,192.168.1.7,6,443,50405,1514
20.189.173.2,192.168.1.7,6,443,50405,205
192.168.1.7,20.189.173.2,6,50405,443,54
192.168.1.7,20.189.173.2,6,50405,443,3168
20.189.173.2,192.168.1.7,6,443,50405,157
20.189.173.2,192.168.1.7,6,443,50405,54
20.189.173.2,192.168.1.7,6,443,50405,518
192.168.1.7,20.189.173.2,6,50405,443,54
192.168.1.7,20.189.173.2,6,50405,443,78
192.168.1.7,20.189.173.2,6,50405,443,54
20.189.173.2,192.168.1.7,6,443,50405,54
192.168.1.7,20.187.186.89,6,50239,443,55
20.187.186.89,192.168.1.7,6,443,50239,66
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,192.168.1.1,17,55112,53,80
192.168.1.1,192.168.1.7,17,53,55112,138
192.168.1.7,40.79.156.133,6,49298,8883,85
40.79.156.133,192.168.1.7,6,8883,49298,85
192.168.1.7,40.79.156.133,6,49298,8883,54
34.120.52.64,192.168.1.7,6,443,50266,81
192.168.1.7,34.120.52.64,6,50266,443,85
34.120.52.64,192.168.1.7,6,443,50266,54
34.120.52.64,192.168.1.7,6,443,49359,81
192.168.1.7,34.120.52.64,6,49359,443,85
34.120.52.64,192.168.1.7,6,443,49359,54
192.168.1.7,192.168.1.1,17,55112,53,77
192.168.1.7,192.168.1.1,17,62840,53,74
192.168.1.7,192.168.1.1,17,57182,53,80
192.168.1.7,192.168.1.1,17,62856,53,77
192.168.1.7,192.168.1.1,17,53036,53,80
192.168.1.7,192.168.1.1,17,58149,53,74
192.168.1.1,192.168.1.7,17,53,55112,93
192.168.1.1,192.168.1.7,17,53,62840,90
192.168.1.1,192.168.1.7,17,53,57182,96
192.168.1.1,192.168.1.7,17,53,62856,105
192.168.1.1,192.168.1.7,17,53,53036,108
192.168.1.1,192.168.1.7,17,53,58149,102
192.168.1.7,192.168.1.1,17,55112,53,72
192.168.1.7,192.168.1.1,17,62840,53,79
192.168.1.1,192.168.1.7,17,53,62840,79
192.168.1.7,34.111.35.151,17,51591,443,1292
192.168.1.7,34.111.35.151,17,51591,443,1292
192.168.1.1,192.168.1.7,17,53,55112,120
34.111.35.151,192.168.1.7,17,443,51591,1292
34.111.35.151,192.168.1.7,17,443,51591,1292
34.111.35.151,192.168.1.7,17,443,51591,1292
34.111.35.151,192.168.1.7,17,443,51591,1292
34.111.35.151,192.168.1.7,17,443,51591,506
192.168.1.7,34.111.35.151,17,51591,443,81
192.168.1.7,34.111.35.151,17,51591,443,209
192.168.1.7,34.111.35.151,17,51591,443,1288
192.168.1.7,34.111.35.151,17,51591,443,284
34.111.35.151,192.168.1.7,17,443,51591,626
34.111.35.151,192.168.1.7,17,443,51591,163
192.168.1.7,34.111.35.151,17,51591,443,73
34.111.35.151,192.168.1.7,17,443,51591,65
34.111.35.151,192.168.1.7,17,443,51591,202
192.168.1.7,34.111.35.151,17,51591,443,77
192.168.1.7,192.168.1.1,17,57182,53,73
192.168.1.7,192.168.1.1,17,62856,53,73
192.168.1.1,192.168.1.7,17,53,57182,89
192.168.1.1,192.168.1.7,17,53,62856,101
34.111.35.151,192.168.1.7,17,443,51591,66
192.168.1.7,192.168.1.1,17,53036,53,80
192.168.1.7,192.168.1.1,17,58149,53,80
192.168.1.1,192.168.1.7,17,53,53036,96
192.168.1.1,192.168.1.7,17,53,58149,108
192.168.1.7,34.111.35.151,17,51591,443,117
192.168.1.7,192.168.1.1,17,62840,53,76
192.168.1.7,192.168.1.1,17,55112,53,76
192.168.1.1,192.168.1.7,17,53,55112,139
192.168.1.1,192.168.1.7,17,53,62840,92
192.168.1.7,34.36.254.54,17,58909,443,1292
192.168.1.7,34.36.254.54,17,58909,443,1292
34.111.35.151,192.168.1.7,17,443,51591,82
192.168.1.7,34.111.35.151,17,51591,443,77
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,1292
34.36.254.54,192.168.1.7,17,443,58909,1292
192.168.1.7,34.36.254.54,17,58909,443,81
34.36.254.54,192.168.1.7,17,443,58909,453
